Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Sprint,Project lead,Component,Project description,Project url,Priority,Resolution,Assignee,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Log Work2,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint3,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Work category),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Calculate individual performance metrics.,NODE-52,10191,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Performance Optimization,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:06,13/09/2023 11:06,13/09/2023 11:06,,,0,"Implement logic to calculate and display individual performance metrics, such as average ratio by assignee and component.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i0018n:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
Calculate team performance metrics,NODE-51,10190,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Integration,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:05,13/09/2023 11:05,13/09/2023 11:05,,,0,"Implement logic to calculate and display team performance metrics, including average ratio by sprint and team capacity.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i0018f:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
"As a user, I want to view individual performance metrics, such as average ratio by assignee and component.",NODE-50,10189,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:05,13/09/2023 11:05,13/09/2023 11:07,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i00187:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
"As a user, I want to view team performance metrics, such as average ratio by sprint and team capacity.",NODE-49,10188,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:05,13/09/2023 11:05,13/09/2023 11:07,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i0017z:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
Performance Metrics,NODE-48,10187,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,Medium,Done,Pawel,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:04,13/09/2023 11:06,13/09/2023 11:06,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},ghx-label-7,,,Performance Metrics,To Do,,purple,,,0|i0017r:,,,,,,,5,,,,,,,,,,,To Do
Create a dashboard component.,NODE-47,10186,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Performance Optimization,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:04,13/09/2023 11:04,13/09/2023 11:04,,,0,"Design a dashboard where users can add, arrange, and view multiple charts for a comprehensive data overview.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-45,Dashboard,,,,,,,0|i0017j:,,,,,,,5,,,,,,,,,10184,Dashboard,To Do
"As a user, I want to add charts to a dashboard for a consolidated view of data analysis.",NODE-46,10185,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Data Integration,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:03,13/09/2023 11:04,13/09/2023 11:07,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-45,Dashboard,,,,,,,0|i0017b:,,,,,,,5,,,,,,,,,10184,Dashboard,To Do
Dashboard,NODE-45,10184,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,Medium,Done,Pawel,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:03,13/09/2023 11:04,13/09/2023 11:04,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},ghx-label-7,,,Dashboard,To Do,,purple,,,0|i00173:,,,,,,,5,,,,,,,,,,,To Do
Add chart customization settings,NODE-44,10183,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:03,13/09/2023 11:03,13/09/2023 11:03,,,0,"Create options for users to customize chart settings, including chart type, X-axis, Y-axis, and chart title",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-37,Data Analysis,,,,,,,0|i0016v:,,,,,,,5,,,,,,,,,10113,Data Analysis,To Do
Implement chart creation options.,NODE-43,10182,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Performance Optimization,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:02,13/09/2023 11:02,13/09/2023 11:02,,,0,"Develop a feature that allows users to create charts (e.g., bar charts, line charts) from selected data columns.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-37,Data Analysis,,,,,,,0|i0016n:,,,,,,,3,,,,,,,,,10113,Data Analysis,To Do
